Ticker,Expiration,TimeToMaturity,Strike,OptionType,LastPrice,Bid,Ask,ImpliedVolatility,BisectionIV,BisectionTime,Bs_price,Binom_price,American_binom_price,Binom_bisection_iv, Trinom_bisection_iv,InTheMoney
^VIX,2025-02-19,0.013699,9,Call,7.65,7.45,7.65,5.26172,0.0001,0.002435,6.45519,0,0,0.0001,3,True
^VIX,2025-02-19,0.013699,10,Call,6.9,6.45,6.65,4.53907,0.0001,0.000663,5.45577,0,0,0.0001,3,True
^VIX,2025-02-19,0.013699,10.5,Call,6.37,5.95,6.15,4.20313,0.0001,0.000616,4.95606,0,0,0.0001,3,True
^VIX,2025-02-19,0.013699,11,Call,5.75,5.45,5.65,3.88281,0.0001,0.000641,4.45635,0,0,0.0001,3,True
^VIX,2025-02-19,0.013699,11.5,Call,5.35,5,5.1,3.57422,0.0001,0.00045,3.95664,0,0,0.0001,3,True
^VIX,2025-02-19,0.013699,12,Call,4.65,4.5,4.6,3.27344,0.0001,0.000462,3.45692,0,0,0.0001,3,True
^VIX,2025-02-19,0.013699,12.5,Call,4.4,4,4.1,2.98047,0.0001,0.00047,2.95721,0,0,0.0001,3,True
^VIX,2025-02-19,0.013699,13,Call,3.45,3.5,3.6,2.69532,0.0001,0.000423,2.4575,0,0,0.0001,3,True
^VIX,2025-02-19,0.013699,13.5,Call,3,3,3.1,2.41407,2.84997,0.002579,3.05,0,0,2.84998,0.0001,True
^VIX,2025-02-19,0.013699,14,Call,2.52,2.5,2.56,2.10938,2.4875,0.001645,2.52988,0,0,2.48483,0.0001,True
^VIX,2025-02-19,0.013699,14.5,Call,2.05,2.01,2.07,1.83984,2.17062,0.002401,2.04,0,0,2.1694,0.0001,True
^VIX,2025-02-19,0.013699,15,Call,1.57,1.53,1.58,1.57031,1.85114,0.002441,1.555,0,0,1.85276,0.0001,True
^VIX,2025-02-19,0.013699,15.5,Call,1.17,1.11,1.16,1.35938,1.60181,0.002316,1.135,0,0,1.60207,1.60237,False
^VIX,2025-02-19,0.013699,16,Call,0.82,0.82,0.87,1.26563,1.49268,0.002363,0.845,0,0,1.49093,1.49195,False
^VIX,2025-02-19,0.013699,16.5,Call,0.62,0.59,0.64,1.20118,1.41634,0.002277,0.615004,0,0,1.41593,1.41619,False
^VIX,2025-02-19,0.013699,17,Call,0.5,0.46,0.5,1.21094,1.42853,0.002549,0.48,0,0,1.42997,1.42792,False
^VIX,2025-02-19,0.013699,17.5,Call,0.39,0.37,0.41,1.2461,1.4713,0.002941,0.390003,0,0,1.47201,1.47215,False
^VIX,2025-02-19,0.013699,18,Call,0.32,0.31,0.35,1.30078,1.53439,0.003009,0.329995,0,0,1.53668,1.53565,False
^VIX,2025-02-19,0.013699,18.5,Call,0.25,0.26,0.3,1.34766,1.59158,0.002644,0.280011,0,0,1.59191,1.59236,False
^VIX,2025-02-19,0.013699,19,Call,0.24,0.22,0.26,1.39453,1.64781,0.003298,0.24,0,0,1.64661,1.64754,False
^VIX,2025-02-19,0.013699,19.5,Call,0.2,0.19,0.22,1.4375,1.69646,0.003166,0.204999,0,0,1.6961,1.69546,False
^VIX,2025-02-19,0.013699,20,Call,0.19,0.17,0.19,1.48438,1.75365,0.003232,0.180001,0,0,1.75509,1.7533,False
^VIX,2025-02-19,0.013699,20.5,Call,0.24,0.14,0.18,1.53125,1.81138,0.00305,0.160002,0,0,1.81052,1.81222,False
^VIX,2025-02-19,0.013699,21,Call,0.13,0.13,0.16,1.58594,1.8731,0.003122,0.145,0,0,1.87498,1.87201,False
^VIX,2025-02-19,0.013699,21.5,Call,0.14,0.11,0.14,1.61719,1.90784,0.003063,0.124999,0,0,1.9072,1.90931,False
^VIX,2025-02-19,0.013699,22,Call,0.11,0.1,0.13,1.66406,1.96765,0.003001,0.114999,0,0,1.96926,1.96642,False
^VIX,2025-02-19,0.013699,22.5,Call,0.11,0.09,0.12,1.71094,2.02025,0.002945,0.104998,0,0,2.02137,2.02228,False
^VIX,2025-02-19,0.013699,23,Call,0.1,0.09,0.11,1.76563,2.08734,0.003046,0.1,0,0,2.08697,2.08673,False
^VIX,2025-02-19,0.013699,23.5,Call,0.15,0.08,0.11,1.82031,2.14993,0.00283,0.0949976,0,0,2.15116,2.14876,False
^VIX,2025-02-19,0.013699,24,Call,0.08,0.07,0.09,1.82813,2.15888,0.003092,0.0800002,0,0,2.15968,2.15877,False
^VIX,2025-02-19,0.013699,24.5,Call,0.13,0.07,0.09,1.89063,2.23662,0.002928,0.0799997,0,0,2.23673,2.2355,False
^VIX,2025-02-19,0.013699,25,Call,0.08,0.06,0.08,1.90625,2.25678,0.003102,0.0699992,0,0,2.25984,2.25759,False
^VIX,2025-02-19,0.013699,26,Call,0.07,0.06,0.07,2,2.36887,0.003042,0.0650009,0,0,2.37085,2.36796,False
^VIX,2025-02-19,0.013699,27,Call,0.07,0.05,0.07,2.09375,2.46989,0.002925,0.0599986,0,0,2.47094,2.46947,False
^VIX,2025-02-19,0.013699,28,Call,0.05,0.04,0.07,2.17188,2.56042,0.003104,0.0550004,0,0,2.56745,2.56072,False
^VIX,2025-02-19,0.013699,29,Call,0.05,0.04,0.06,2.23438,2.64069,0.002785,0.0499976,0,0,2.64225,2.63935,False
^VIX,2025-02-19,0.013699,30,Call,0.05,0.03,0.06,2.29688,2.71085,0.002932,0.0449992,0,0,2.71418,2.71314,False
^VIX,2025-02-19,0.013699,31,Call,0.08,0.03,0.06,2.39063,2.81833,0.002898,0.0449994,0,0,2.82412,2.81819,False
^VIX,2025-02-19,0.013699,32,Call,0.05,0.03,0.06,2.46875,2.92152,0.002709,0.0450015,0,0,2.93025,2.92003,False
^VIX,2025-02-19,0.013699,33,Call,0.05,0.03,0.05,2.51563,2.97077,0.002694,0.0400022,0,0,2.97307,2.97093,False
^VIX,2025-02-19,0.013699,34,Call,0.04,0.03,0.05,2.59375,0.0001,0.000398,0,0,0,0.0001,0.0001,False
^VIX,2025-02-19,0.013699,35,Call,0.04,0.03,0.05,2.67188,0.0001,0.000397,0,0,0,0.0001,0.0001,False
^VIX,2025-02-19,0.013699,36,Call,0.07,0.02,0.05,2.6875,0.0001,0.000379,0,0,0,0.0001,0.0001,False
^VIX,2025-02-19,0.013699,37,Call,0.04,0.02,0.05,2.76563,0.0001,0.00038,0,0,0,0.0001,0.0001,False
^VIX,2025-02-19,0.013699,38,Call,0.09,0.02,0.05,2.84375,0.0001,0.000378,0,0,0,0.0001,0.0001,False
^VIX,2025-02-19,0.013699,39,Call,0.06,0.02,0.04,2.84375,0.0001,0.000406,0,0,0,0.0001,0.0001,False
^VIX,2025-02-19,0.013699,40,Call,0.03,0.02,0.04,2.90625,0.0001,0.000379,0,0,0,0.0001,0.0001,False
^VIX,2025-02-19,0.013699,42.5,Call,0.03,0.01,0.04,3,0.0001,0.00044,0,0,0,0.0001,0.0001,False
^VIX,2025-02-19,0.013699,45,Call,0.03,0.01,0.04,3.125,0.0001,0.000433,0,0,0,0.0001,0.0001,False
^VIX,2025-02-19,0.013699,47.5,Call,0.02,0,0.03,3.0625,0.0001,0.000405,0,0,0,0.0001,0.0001,False
^VIX,2025-02-19,0.013699,50,Call,0.02,0.01,0.03,3.3125,0.0001,0.000393,0,0,0,0.0001,0.0001,False
